total_events,evt_epoll_wait,evt_switch,evt_select,evt_wait4,evt_times,evt_accept,evt_futex,evt_getsockname,evt_fcntl,evt_read,evt_stat,evt_openat,evt_mmap,evt_munmap,evt_madvise,evt_writev,evt_write,evt_close,evt_epoll_ctl,evt_clone,evt_set_robust_list,evt_mprotect,evt_sigaltstack,evt_rt_sigprocmask,evt_gettid,evt_nanosleep,evt_getpid,evt_tgkill,evt_epoll_pwait,evt_signaldeliver,evt_procexit,evt_execve,evt_brk,evt_access,evt_fstat,evt_arch_prctl,evt_getuid,evt_getgid,evt_geteuid,evt_getegid,evt_sysinfo,evt_rt_sigaction,evt_uname,evt_getcwd,evt_getppid,evt_socket,evt_connect,evt_lseek,evt_getpgrp,evt_prlimit,evt_getpeername,evt_pipe,evt_dup,evt_set_tid_address,evt_statfs,evt_exit_group,evt_rt_sigreturn,evt_fadvise64,evt_umask,evt_fchmodat,evt_ioctl,evt_newfstatat,evt_unlinkat,evt_shutdown,evt_sched_yield,evt_lstat,evt_lgetxattr,evt_getxattr,evt_getdents64,evt_poll,evt_pselect6,evt_mkdir,evt_readlink,evt_rename,evt_chmod,evt_unlink,evt_symlink,evt_getrandom,evt_sendmmsg,evt_recvfrom,evt_exit,evt_setsockopt,evt_getsockopt,evt_sendto,evt_link,evt_chdir,evt_setitimer,evt_sched_getaffinity,evt_readlinkat,evt_epoll_create1,evt_capget,evt_getpgid,evt_rt_sigsuspend,evt_kill,evt_alarm,evt_setgid,evt_chown,evt_getgroups,evt_setgroups,evt_setresgid,evt_setresuid,evt_prctl,evt_getresuid,evt_getresgid,evt_clock_gettime,evt_bind,evt_recvmsg,evt_lchown,evt_faccessat,evt_utimensat,evt_fstatfs,evt_fchdir,evt_flistxattr,evt_fgetxattr,evt_fsetxattr,evt_mremap,evt_setpgid,evt_timer_create,evt_timer_settime,evt_setuid,evt_mknod,evt_mount,evt_umount,evt_finit_module,label
26295,3534,683,58,66,244,90,686,102,84,676,348,274,384,670,126,294,250,454,1052,0,10,96,0,0,0,0,0,0,10,7,0,0,42,0,0,6,10,10,18,10,2,56,0,0,2,4,0,2,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21835,3832,967,58,66,352,80,690,56,56,742,920,404,580,192,160,334,368,226,690,13,10,0,20,58,0,0,8,2,4,7,0,5,42,0,0,6,0,10,18,0,2,48,2,0,2,0,0,2,2,0,0,0,0,2,0,0,2,0,0,0,4,0,0,58,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27470,8685,1417,168,106,344,74,2842,52,1044,1096,504,2292,1608,856,130,276,388,13946,1228,145,68,7154,158,280,100,440,24,0,6,58,37,20,134,84,492,20,114,92,116,84,0,262,18,10,6,36,42,10,6,14,8,8,662,164,28,6,5,4,0,12,140,114,0,52,4,610,0,10,12,0,0,12,0,0,0,0,0,4,0,0,0,0,2,0,0,2,8,6,0,0,0,0,0,2,18,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,4,0,0,0,0,0,1
17419,4200,674,60,66,352,64,1166,92,84,1444,92,208,490,0,232,214,626,434,666,0,0,58,0,54,0,0,0,0,14,0,0,10,42,0,140,0,0,0,10,10,2,0,0,0,2,12,16,8,2,0,2,0,0,2,0,3,4,0,0,0,4,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153199,1064,1741,60,98,320,54,3058,42,136,1518,532,908,1210,384,226,300,360,1442,682,782,84,286,52,148,76,6,2,0,16,57,31,28,72,162,178,32,114,56,82,98,8,1588,10,6,20,152,0,56,4,20,6,6,54,6,168,19,11,6,0,0,116,74,22,42,0,610,0,10,1160,0,0,0,120,28,0,0,0,0,2,126,0,0,0,0,0,2,0,6,0,0,8,0,8,26,0,0,0,0,0,0,0,0,12,0,0,0,0,0,212,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
2198,4492,424,58,56,658,162,1722,52,112,666,348,204,444,460,122,300,184,426,1362,0,0,58,0,0,4,230,0,2,10,2,0,0,0,14,164,0,10,10,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,4,3,2,4,0,0,4,0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10267,11286,1127,60,70,322,70,3372,56,156,1254,560,10392,19982,374,120,220,908,7838,576,144,122,218,148,2378,102,878,24,0,4,47,61,665,154,74,1064,44,80,48,24,18,0,164,6,6,20,0,42,18,4,20,6,20,22,316,4,245,10,12,66,2,2,38,74,52,14,116,0,2,0,0,0,0,120,0,0,0,0,10,4,0,0,0,6,38,0,2,16,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,12,0,0,0,0,0,16,6,0,0,0,0,0,0,0,1
87974,3790,828,58,763,340,118,2594,60,112,18520,656,1024,1824,350,120,316,352,782,1162,130,314,214,154,2488,98,436,42,0,36,57,498,40,200,82,862,660,6,54,80,18,16,262,4,8,6,38,50,52,4,182,4,20,16,14,8,15,10,60,6,2,2,38,0,42,6,28,0,10,650,99,0,4,22,0,38,0,0,6,0,110,0,14,0,56,0,4,0,4,6,0,0,0,0,36,0,28,0,0,0,0,0,6,6,0,0,2,8,0,300,0,0,0,0,0,0,0,4,4,0,0,0,2,2,0,1
9168,6640,744,60,60,164,70,1180,50,84,706,302,404,768,290,40,774,186,272,1056,0,2,0,0,58,10,0,0,0,0,0,0,5,0,14,0,6,0,0,10,0,2,56,2,0,2,4,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,104,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5365,17758,960,60,58,330,106,1468,52,84,848,386,680,190,270,120,296,308,456,1080,13,0,36,0,50,0,0,0,0,12,7,0,5,0,0,0,0,10,0,0,18,0,0,0,0,0,12,0,2,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,42,0,14,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12992,4370,1622,58,106,374,140,3088,66,124,1478,560,692,1538,344,120,294,23204,1840,748,774,126,218,152,280,26,338,80,0,42,69,274,25,282,70,332,12,108,4,6,92,16,1588,8,4,8,50,30,922,0,10,8,2,0,14,20,245,21,16,0,0,6,2,2,66,4,24,0,10,4,144,590,0,22,0,38,22,0,0,0,0,0,0,0,0,14,12,8,8,0,0,0,0,0,0,0,0,12,2,0,10,0,2,0,0,4,0,8,0,0,0,0,0,0,12,0,0,6,4,0,0,0,0,0,0,1
31179,6516,587,58,106,360,116,3584,48,1924,2578,450,1240,1186,752,124,316,828,1856,1096,742,44,738,152,240,102,288,46,2,4,49,276,35,238,114,1616,332,88,48,80,84,0,1348,6,8,6,46,72,52,0,16,2,0,16,6,4,16,9,68,0,12,116,74,38,38,0,28,0,0,4,72,0,0,60,0,0,144,2,0,8,134,0,0,0,0,0,2,8,4,0,0,0,16,0,0,0,0,0,0,0,0,10,0,0,6,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
10329,6316,305,60,60,374,166,1174,14,164,554,312,398,340,750,164,190,302,456,658,13,0,0,0,0,0,0,0,2,14,0,5,5,42,24,116,0,0,10,0,0,2,48,0,0,0,0,12,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,28,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13971,4430,426,60,60,556,120,776,40,240,878,302,220,464,302,240,324,574,426,1628,13,0,0,0,0,0,0,0,0,14,7,0,5,42,0,0,0,0,0,0,10,2,0,2,2,2,4,4,2,0,0,0,0,0,2,0,3,2,4,0,0,0,0,0,52,4,28,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86586,4620,773,60,108,356,114,1084,88,1042,856,542,1218,1168,842,122,304,336,552,1098,54,46,192,312,150,26,496,44,0,4,40,45,31,2818,912,458,30,80,92,110,92,4,1998,4,8,6,36,0,24,0,26,4,0,20,10,0,19,197,66,0,0,2,36,38,48,54,4,0,0,276,0,420,4,22,28,40,0,0,4,0,0,2,0,0,38,0,0,16,12,4,4,4,0,0,2,0,0,0,2,10,0,10,12,0,0,0,0,8,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,1
1,3192,332,60,60,230,52,1124,40,156,1728,134,888,424,288,92,450,284,856,612,0,10,44,0,0,0,386,0,0,12,0,9,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,10,2,2,2,0,0,4,0,0,0,0,0,0,0,0,0,62,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15341,13566,278,60,64,414,60,2444,54,280,288,312,176,550,482,374,182,554,486,954,16,0,52,16,46,8,0,10,0,0,7,3,0,0,18,164,6,0,0,0,0,2,0,2,0,2,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,86,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17154,2140,1235,83,60,342,92,1618,56,144,672,896,2298,1460,754,124,302,994,1796,684,147,22,334,52,290,74,0,0,8,140,48,62,23,1540,1164,7858,660,70,48,228,64,0,4440,10,4,16,30,72,922,4,176,6,20,54,6,4,13,197,2,0,6,86,114,0,74,2,346,0,0,276,0,730,0,22,0,0,0,0,0,2,0,0,8,24,12,0,4,0,0,0,0,0,0,0,0,18,12,8,0,0,0,0,6,6,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33624,7968,610,60,60,330,72,2528,26,104,320,326,478,342,796,124,568,386,0,836,0,2,0,0,0,0,0,8,0,8,7,9,5,0,0,116,6,0,18,0,0,0,0,2,0,0,4,4,0,2,0,2,0,0,0,4,3,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32580,2028,1343,60,90,368,100,3630,38,132,2319,490,464,1386,348,126,302,310,738,682,54,100,196,48,156,40,6,46,0,142,37,43,29,220,510,210,12,114,10,6,56,0,20,6,8,16,36,42,732,0,20,0,6,0,14,8,18,9,10,66,0,130,2,2,52,32,14,0,12,4,0,544,0,22,0,0,144,2,0,4,24,0,12,0,38,14,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,2,0,0,212,24,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
3663,14426,228,60,60,398,70,1186,46,52,742,736,108,0,640,120,196,562,462,610,13,0,0,4,0,10,0,0,0,0,7,8,5,42,0,140,8,0,18,0,28,0,0,0,0,0,0,0,8,2,2,0,0,0,4,8,3,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10693,504,1593,58,62,304,144,2626,24,228,870,280,168,910,326,332,292,286,942,780,20,0,0,20,0,10,0,0,0,0,4,8,0,42,18,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,6,2,0,0,0,0,0,0,2,0,0,0,0,0,40,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21205,2450,818,60,106,340,76,1156,42,112,1752,512,762,1766,358,120,280,396,768,682,133,28,322,140,2466,32,166,80,0,126,33,29,28,122,144,916,30,114,76,76,110,30,250,4,8,6,24,42,238,0,20,8,6,0,10,0,9,18,66,4,6,302,36,0,44,0,624,0,0,276,153,564,4,22,28,0,22,0,12,2,106,2,0,0,26,0,2,0,4,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,1
10935,228,802,58,66,252,104,922,42,104,684,794,412,364,362,118,298,132,426,704,0,6,0,4,0,0,0,0,2,0,7,8,5,42,24,116,0,18,10,18,10,0,48,0,0,0,0,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,50,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169194,2182,615,60,1436,348,92,1288,56,128,890,3556,6752,1874,834,122,316,378,822,1218,1488,86,648,60,270,56,0,0,0,14,55,47,28,134,120,476,20,6,4,68,102,12,168,8,10,14,32,46,922,4,8,4,628,16,8,340,8,10,132,0,0,26,74,2,62,2,14,116,10,276,0,560,4,0,0,0,22,0,10,2,0,0,30,0,12,0,2,0,6,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,4,0,0,0,0,0,1
13790,8846,441,60,66,366,52,1306,42,84,700,362,364,506,4,0,594,354,546,588,9,0,56,20,0,0,122,0,0,0,0,0,0,0,24,0,6,0,0,0,0,0,0,2,0,0,0,4,0,0,4,2,0,0,0,0,3,2,0,0,0,0,0,0,38,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87267,7474,1389,58,1413,360,44,1200,52,136,1076,486,1016,1550,362,122,274,452,1110,624,776,310,3746,152,112,18,358,0,0,8,50,35,328,1540,70,4208,30,48,102,6,56,12,7948,10,10,20,42,72,18,0,10,6,8,16,164,340,10,205,66,130,6,92,38,38,40,0,36,8,0,12,93,420,52,0,0,0,0,0,12,0,132,2,12,0,26,0,0,0,0,0,10,0,0,5,2,0,0,16,0,0,0,0,6,6,6,8,0,24,12,0,12,0,0,12,0,12,0,0,0,0,0,0,2,0,0,1
17183,2462,773,58,102,340,92,1174,42,140,1634,502,498,920,370,124,316,1002,13830,1222,91,512,7166,154,114,102,336,2,2,40,228,48,40,152,28,516,24,86,28,82,90,4,4440,8,34,20,0,214,16,0,14,4,14,0,14,8,6,197,6,2,0,2,36,38,54,72,6,0,0,12,0,566,0,22,28,0,0,0,12,2,0,0,0,0,64,0,2,8,4,0,6,0,0,0,28,2,0,0,0,0,20,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38068,7402,544,60,64,232,148,2236,42,88,1026,324,298,456,294,126,646,346,470,696,13,12,0,0,0,2,0,8,0,10,0,0,0,0,0,116,0,0,0,0,10,2,48,0,0,0,4,0,2,2,2,2,0,0,0,4,0,0,4,0,0,0,0,0,48,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12661,26290,472,56,66,290,244,0,70,156,268,308,400,472,726,80,766,326,350,748,0,8,0,12,56,10,160,10,2,0,0,8,5,0,14,140,6,0,0,18,0,2,0,0,2,2,0,0,0,2,4,2,0,0,2,0,3,2,2,0,0,4,0,0,32,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39144,9602,598,0,0,332,78,1372,42,132,430,348,296,576,290,86,310,348,390,988,0,12,0,0,48,6,202,12,0,0,0,0,0,0,0,116,0,0,18,0,0,0,52,0,0,2,12,0,14,2,0,2,0,0,0,0,3,0,4,0,0,0,0,0,58,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14247,4930,318,56,66,170,98,1290,64,80,716,264,472,436,196,292,238,870,666,604,0,10,0,16,54,8,130,0,0,14,0,0,5,0,0,116,6,0,0,18,10,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14144,4,842,60,60,342,168,462,50,80,1012,692,438,802,292,156,294,276,436,658,13,0,38,20,48,0,292,0,0,0,5,0,0,0,14,280,6,10,10,0,0,2,0,0,2,2,0,0,8,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,38,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88352,1740,677,160,100,320,66,2470,42,264,848,344,13532,1886,852,224,312,854,780,620,1481,124,322,148,2440,90,378,34,0,14,430,261,46,220,130,1616,20,316,4,68,36,6,1176,34,6,6,0,0,30,8,362,0,0,0,12,168,10,11,6,0,2,6,2,0,52,0,14,0,0,650,12,464,0,22,0,0,0,0,0,8,16,0,30,0,0,0,4,0,6,0,4,4,0,0,0,4,0,0,4,0,0,10,0,0,0,0,0,8,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,1
11693,18902,418,56,66,408,84,2444,54,92,708,542,192,284,300,82,202,764,526,650,0,0,58,0,60,0,0,0,0,12,0,7,5,42,0,0,6,0,0,0,0,0,0,2,2,2,0,0,2,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,132,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21835,1,474,58,60,432,102,1180,26,280,696,370,284,416,409,88,868,568,406,698,13,0,32,0,0,0,122,12,0,14,7,8,0,0,0,0,0,0,0,10,10,2,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
